date,time,title,content,press,link
2018.08.24,,비트코인 0.30%↑ 이더리움 0.87%↑ 리플 0% 대시 1.49%↑ 에이다 0.98%↑ 퀀...,,로이슈,http://www.lawissue.co.kr
2018.08.24,,비트코인 0.26%↑ 이더리움 0.64%↑ 리플 0.27%↑ 라이트코인 0.47%↑ 대시 -...,,로이슈,http://www.lawissue.co.kr
2018.08.24,,비트코인 0.15%↑ 이더리움 0.77%↑ 리플 0.54%↑ 퀀텀 1.30%↑ 라이트코인 0...,,로이슈,http://www.lawissue.co.kr
2018.08.24,2018-08-24 00:01:08,"[가상화폐 뉴스] 오미세고, 전일 대비 240원 (-5.58%) 내린 4,060원","
[한국경제TV 라이온봇 기자]



[그림 1] 오미세고 최근 1개월 추세 (제공: 암호화폐 거래소 코인원)08월 24일 00시 00분 현재 암호화폐 거래소 코인원에 따르면 오미세고는 전일 대비 240원 (-5.58%) 내린 4,060원에 거래되고 있다.전일 대비 최저가는 3,970원, 최고가는 4,180원이었다. 1일 거래량은 77,849,134 OMG이며, 거래대금은 약 63,422,431원이었다.전일 거래량 대비 당일 거래량은 증가하고 있다. 최근 1개월 고점은 8,400원이었으며, 현재 가격은 고점 대비 48.33% 수준이다.또한, 최근 1개월 저점은 3,760원이었으며, 현재 가격은 저점 대비 107.98% 수준이다.



라이온봇 기자 -한국경제TV※ 본 기사는 한국경제TV와 '거장들의 투자공식이'자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.라이온봇기자 ▶ No1. 경제/증권방송 보며 채팅하기 [유튜브][페이스북]▶ 대한민국 재테크 총집결 [한국경제TV 사이트 바로가기]ⓒ 한국경제TV, 무단 전재 및 재배포 금지
		",한국경제TV,https://n.news.naver.com/mnews/article/215/0000675049?sid=004
2018.08.24,2018-08-24 00:01:09,"[가상화폐 뉴스] 08월 24일 00시 00분 비트코인(-2.33%), 비트코인 골드(1.4%...","
[한국경제TV 라이온봇 기자]



[그림 1] 가상화폐 시세 (제공: 암호화폐 거래소 코인원) 현재 암호화폐 거래소 ""코인원""에 따르면 가상화폐 대장 격인 비트코인의 시세는 24시간 전 대비 176,000원(-2.33%) 하락한 7,372,000원에 거래되고 있다.비트코인을 제외한 가상화폐 동향은 대부분 하락세를 보이고 있다.비트코인 골드은 24시간 전 대비 1.4%  상승한 79,600원에 거래되고 있다.한편, 가장 큰 하락세를 보이는 가상화폐는 카이버 네트워크이다. 카이버 네트워크은 24시간 전 대비 -10.92%  하락한 514원에 거래되고 있다.또한, 아이오타(-6.56%, 570원), 오미세고(-5.58%, 4,060원), 이더리움 클래식(-4.48%, 14,070원), 퀀텀(-4.29%, 4,680원), 제로엑스(-4.03%, 762원), 리플(-3.4%, 369원), 비트코인 캐시(-3.15%, 599,000원), 이오스(-2.99%, 5,520원), 이더리움(-2.95%, 313,000원), 질리카(-2.5%, 39원), 스트리머(-2.44%, 40원), 라이트코인(-2.37%, 63,950원)은 하락세를 나타냈다.한편 거래금액 기준으로는 비트코인, 리플, 이더리움 순으로 가장 활발한 거래를 보이고 있다.



라이온봇 기자 -한국경제TV※ 본 기사는 한국경제TV와 '거장들의 투자공식이'자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.라이온봇기자 ▶ No1. 경제/증권방송 보며 채팅하기 [유튜브][페이스북]▶ 대한민국 재테크 총집결 [한국경제TV 사이트 바로가기]ⓒ 한국경제TV, 무단 전재 및 재배포 금지
		",한국경제TV,https://n.news.naver.com/mnews/article/215/0000675050?sid=004
2018.08.24,,[암호화폐 시황] 대시 2.95%↓ · 모네로 0.29%↓ … 00시 00분 현재,,글로벌경제,http://www.getnews.co.kr
2018.08.24,,[암호화폐 시황] 비트코인 0.09%↑ · 이더리움 0.64%↑ … 00시 00분 현재,,글로벌경제,http://www.getnews.co.kr
2018.08.24,,"가상화폐(암호화폐) 00시 현재 시세, 이더리움 313,000원, 비트코인 7,377,00...",,내외경제tv,http://www.nbntv.co.kr
2018.08.24,,"(08월 24일 00시) 거래소별 비트코인, 리플 등 암호화폐 시세 정보",,인사이트코리아,http://www.insightkorea.co.kr/
2018.08.24,,"가상화폐(암호화폐) 00시 현재 시세, 이오스 5,520원, 라이트코인 64,350원, ...",,내외경제tv,http://www.nbntv.co.kr
2018.08.24,,"암호화폐(가상화폐) 08월 24일 00시 기준, 2,600원(0.84%) 상승한 313,500원에...",,서울와이어,http://www.seoulwire.com
2018.08.24,,"암호화폐(가상화폐) 08월 24일 00시 기준, 60원(1.30%) 상승한 4,670원에 퀀텀...",,서울와이어,http://www.seoulwire.com
2018.08.24,,"가상화폐(암호화폐) 00시 현재 시세, 퀀텀 4,670원, 이더리움 313,200원, 이오...",,내외경제tv,http://www.nbntv.co.kr
2018.08.24,,[뉴스와 현장] 금감원장 말 한마디의 무게 /정유선,,국제신문,http://www.kookje.co.kr/
