date,time,title,content,press,link
2020.01.18,,비트코인 -0.82%↓ 이더리움 -1.16%↓ 리플 -0.91%↓ 라이트코인 -1.20%↓ 대...,,로이슈,http://www.lawissue.co.kr
2020.01.18,,비트코인 -0.82%↓ 이더리움 -1.16%↓ 리플 -0.76%↓ 퀀텀 -1.34%↓ 라이트코...,,로이슈,http://www.lawissue.co.kr
2020.01.18,,비트코인 -0.74%↓ 이더리움 -1.19%↓ 리플 -1.14%↓ 에이다 -1.28%↓ 퀀텀 -...,,로이슈,http://www.lawissue.co.kr
2020.01.18,,"[코인빗 시황] 0시 1분 현재 비트코인 0.16% 내린 1358만5000원, 이더리움 0%...",,로이슈,http://www.lawissue.co.kr
2020.01.18,,"[23시 기준 비트코인 시황] 비트코인 1.35% 상승세, 리플 1.91% 상승 투자자들...",,공감신문,http://gokorea.kr
2020.01.18,,"암호화폐로 부동산 거래, 호텔 결제 가능하다?",,아주경제,http://www.ajunews.com
2020.01.18,,[가상화폐] 18일 00시 국내외 트론 0.01% 상승한 19원에 거래...,,내외경제tv,http://www.nbntv.co.kr
2020.01.18,2020-01-18 00:30:28,"[가상화폐] 18일 오전 0시 30분 비트코인 154,000원 상승한 9,939,000원에 거...","
[한국경제TV 라이온봇 기자]



비트코인, 비트코인에스브이, 리플, 비트코인캐시, 이더리움, 이오스, 비트코인골드, 이더리움클래식, 메인프레임, 트론, 에이다, 퀀텀, 비트토렌트, 코스모스, 디마켓[표]가상화폐 시세 (제공: 암호화폐 거래소 업비트)현재 암호화폐 거래소 ""업비트""에 따르면 가상화폐 대장 격인 비트코인의 시세는 전일 대비 154,000원(1.57%) 상승한 9,939,000원에 거래되고 있다.비트코인을 제외한 가상화폐 동향은 상승이 우세하다.상승세를 보이는 가상화폐는 총 11종목으로 이 중 가장 큰 상승세를 보이는 메인프레임은 전일 대비 35.78% 상승한 1.48원에 거래되고 있다.또한, 이더리움클래식(19.98%, 11,020원), 퀀텀(4.38%, 2,265원), 비트코인캐시(3.82%, 370,800원), 리플(2.73%, 263원), 에이다(2.64%, 46.7원), 이더리움(2.58%, 188,750원), 트론(1.06%, 19원), 이오스(0.58%, 4,320원), 코스모스(0.57%, 5,290원), 비트코인골드(0.46%, 19,780원)가 상승세를 나타냈다.하락세를 보이는 가상화폐는 총 2종목으로 비트코인에스브이와 디마켓이다.비트코인에스브이는 현재 전일 대비 -3.29% 하락한 334,750원에 거래되고 있으며, 디마켓은 -1.68% 하락한 234원에 거래되고 있다.한편 거래금액 기준으로는 비트코인, 비트코인에스브이, 리플 순으로 가장 활발한 거래를 보이고 있다.



라이온봇 기자 -한국경제TV※ 본 기사는 한국경제TV와 `금융 AI 전문기업 씽크풀`이 실시간으로 작성한 기사입니다.라이온봇기자 ▶[이벤트] 한국경제TV 채널설정하면 LG노트북·안마의자 쏩니다! ▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]ⓒ 한국경제TV, 무단 전재 및 재배포 금지
		",한국경제TV,https://n.news.naver.com/mnews/article/215/0000840252?sid=004
2020.01.18,,[가상화폐] 18일 암호화폐 이더리움 ... 상승세 속에 18만8700원에 거래 (18일...,,CCTV뉴스,http://www.cctvnews.co.kr
2020.01.18,,"[코인빗 시황] 1시 1분 현재 비트코인 0.16% 내린 1358만5000원, 이더리움 0%...",,로이슈,http://www.lawissue.co.kr
2020.01.18,,비트코인 0.95%↑ 이더리움 1.23%↑ 리플 1.61%↑ 라이트코인 2.58%↑ 대시 2...,,로이슈,http://www.lawissue.co.kr
2020.01.18,,비트코인 0.90%↑ 이더리움 1.33%↑ 리플 1.54%↑ 퀀텀 1.58%↑ 라이트코인 2...,,로이슈,http://www.lawissue.co.kr
2020.01.18,,비트코인 0.83%↑ 이더리움 1.09%↑ 리플 1.15%↑ 에이다 1.94%↑ 퀀텀 2.24%...,,로이슈,http://www.lawissue.co.kr
2020.01.18,,"[00시 기준 이더리움 시황] 이더리움 2.94% 상승, 이더리움 클래식 38.41% 상...",,공감신문,http://gokorea.kr
