title,dates,press,link,content,time
[오후 시세브리핑] 가상자산 시장 보합세...비트코인 2만6000 달러선,2023.08.23,토큰포스트,https://www.tokenpost.kr,,
"中 정부 인사, 채굴장 불법 지원 및 부패 혐의로 '종신형'",2023.08.23,토큰포스트,https://www.tokenpost.kr,,
"[점심브리핑] 호주, CBDC 시범 사업 완료",2023.08.23,디센터,http://decenter.kr,,
[비머pick] 중소기업들 '랜섬웨어 공격'에 업무마비,2023.08.23,SBS,https://n.news.naver.com/mnews/article/055/0001083866?sid=102,"
			국내 제조업체들이 해커의 랜섬웨어 피해를 받고 있습니다.경북의 한 자동차 부품업체는 랜섬웨어 공격을 받았습니다.중국에 있는 것으로 추정되는 해커 조직이 백업 서버까지 랜섬웨어에 감염시켰습니다.해커는 데이터 복구 대가로 20억 원 상당의 가상화폐를 요구했습니다.업체는 요구를 거절하고 오프라인 대조 작업을 거쳐 자료를 복구했지만, 2주 동안 제품 출하와 결재 업무에 차질을 빚었습니다.[랜섬웨어 피해 업체 관계자 : 이 정도 매출에 올해 영업이익도 이 정도 났으니까 이 금액은 과도한 금액이 아닌 것 같다면서 비트코인을 원한다는 회신이 왔었어요.]또 다른 부품업체 한 곳은 해커에게 수억 원을 지불하고 나서야 서버를 복구한 것으로 전해졌습니다.올해 사이버 침해사고 신고 건수는 상반기에만 664건으로 지난해보다 40% 넘게 늘었습니다.해킹 공격의 많은 부분이 보안 수준이 낮은 중소 제조업체에 집중됐습니다.( 취재 : TBC 김용우 / 구성 : 전형우 / 편집 : 김복형 / 제작 : 디지털뉴스기획부 ) 
		",2023-08-23 13:19:30
"경찰, 가상자산 추적 장비 확대",2023.08.23,10면 2단,https://n.news.naver.com/mnews/article/030/0003128346?sid=101,"




사진=연합뉴스경찰청 국가수사본부가 가상자산 추적 장비를 추가 마련한다. 올해 상반기 동안 총 1410억원 상당 재산을 보전(처분금지)한 경찰은 장비를 확대해 가상자산 범죄 수익 몰수·추징보전에 탄력을 붙인다는 계획이다.업계에 따르면 경찰청은 가상자산간 거래흐름 설명 및 분석 기능을 제공하는 장비인 '채이널리시스 Storyline' 1개를 신규 마련하고, 비트코인·이더리움·비트코인캐쉬·라이트코인 등 130개에 대한 추적 기능을 제공하는 장비인 '채이널리시스 Reactor All Assets' 9개의 라이선스 갱신을 진행할 방침이다.경찰청은 2016년 비트코인을 이용한 디지털성범죄, 해킹, 랜섬웨어, 마약범죄 등 범죄를 추적하기 위해 사이버 안전국에 미국 채이널리시스 리액터 프로그램을 도입해 수사에 활용해온 바 있다.하지만 가상자산을 이용한 범죄 수익 등 은닉 및 처분 사례가 급증해 사이버 안전국에서 제공하는 프로그램만으로는 원활한 자금 추적이 어려워졌다. 이에 경찰은 범죄 수익 추적 전담팀 전용 가상자산 추적 장비를 마련한다는 계획이다.'reactor All Assets'으로는 △특정 비트코인 등 가상자산 주소나 트랜잭션의 거래 내역을 그래프로 시각화 △ 비트코인 등 가상자산 거래 내력을 실시간 모니터링해 연관관계 정보 제공 △고유 알고리즘을 통한 특정 클러스터 도달까지의 전·후 자금 출처 정보 정보제공 등이 가능하다.'storyline'으로는 △블록체인 내 트랜잭션 해시 입력을 통해 단일 거래와 그 전후 거래를 쉽게 추가하고 분석 할 수 있도록 지원 △거래소·믹싱서비스·랜섬웨어·도난 자금 등 27개 이상의 가상자산 서비스 범주와 1만 개 이상의 식별된 가상자산 서비스 제공 △하나의 거래에서 여러 당사자의 손익을 계산할 수 있도록 특정 자금 흐름 분석 등을 할 수 있다.가상자산의 범죄 의심거래는 탈세·뇌물·자금세탁·가상자산 발행과 상장, 유통 등 시장 전반에서 증가하고 있다. 금융정보분석원(FIU)에 보고된 가상자산 의심거래는 월평균 2021년 66건에서 2023년 943건으로 3년 만에 14배 넘게 올랐다.가상자산 관련 범죄 피해 액수도 2017년 4674억 원에서 지난해 1조192억 원으로 2배가 넘게 증가했다. 최근 5년간 피해액 합계도 5조3000억 원을 넘어선 것으로 집계됐다.
",2023-08-23 13:41:03
업비트 거래소에서 금일 가장 주목 받는 가상화폐는…,2023.08.23,경향게임스,http://www.khgames.co.kr/,,
[오익재의 활짝 핀테크] 가상자산공모ICO vs 토큰증권공모 STO,2023.08.23,조세금융신문,http://www.tfnews.co.kr/,,
"리스크관리가 중요한 때..삼성전자 강보합권, 에코프로, 배터리 3사 조정..비...",2023.08.23,매일안전신문,http://peoplesafe.kr,,
"국제결제은행 ""암호화폐, 신흥 시장 금융 위험성 가중한다""",2023.08.23,코인리더스,http://coinreaders.com,,
위험 자산 선호 위축에 비트코인 3500만원대 거래중,2023.08.23,뉴시스,https://n.news.naver.com/mnews/article/003/0012046730?sid=102,"




[서울=뉴시스] 최진석 기자 = 비트코인이 지난주 미 연방공개시장위원회(FOMC) 의사록 공개 이후  위험 자산 선호 심리가 위축되며 3500만원대에서 고전하고 있다. 23일 서울 강남구 빗썸 고객지원센터 전광판에 3500만원대를 기록하고 있는 비트코인 시세가 보이고 있다. 2023.08.23. myjs@newsis.com[사진 영상 제보받습니다] 공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다. 뉴스 가치나 화제성이 있다고 판단되는 사진 또는 영상을 뉴시스 사진영상부(n-photo@newsis.com)로 보내주시면 적극 반영하겠습니다.
",2023-08-23 15:40:23
