title,dates,press,link,content,time
"코드스테이츠, '웹 3.0 인재 양성' 플랫폼 스테이츠다오 출범",2022.03.31,한국경제,https://n.news.naver.com/mnews/article/015/0004680403?sid=105,"




사진=코드스테이츠국내 IT 인재양성 스타트업 코드스테이츠가 차세대 커리어 플랫폼 스테이츠다오(States DAO)를 정식 출범한다고 31일 밝혔다.스테이츠다오는 웹3.0 프로젝트 기여자를 탐색하고 실무 협업을 지원하는 탈중앙화 자율조직(DAO)으로 투명하고 명확한 규칙에 의해 보상을 획득하는 런투언(Learn to Earn) 모델에 기반을 두고 있다.스테이츠다오는 블록체인 기술 기반 탈중앙화 프로토콜을 활용해 모든 참여자가 운영 주체로 활동할 수 있는 웹3.0 생태계 성장을 가속화하고 관련 IT 인재를 발굴 육성한다는 계획이다.펠로우로 참여한 학습자들은 a41벤처스, 슈퍼블록, 엔에프티뱅크 등 업계 현직자들과 매칭돼 웹3.0 엔지니어가 되기 위한 내용을 학습하게 된다. 교육 코스 수료 시에는 업무 역량을 인증하는 토큰을 획득하고 다양한 실무 프로젝트에 참여해 기여도에 따른 인센티브 확보가 가능하다.채용 연결 서비스도 지원한다. 참여자들은 프로젝트와 관련된 취업 기회를 확보할 수 있으며 기업들은 검증된 인재 채용을 진행할 수 있다. 또한 플랫폼을 통한 웹3.0 분야 창업 지원, 프로젝트 별 바운티 및 그랜트 프로그램 참여 등을 제공할 예정이다.코드스테이츠는 ""해시드, 그라운드X, a41벤처스, 테라 등 다수의 벤처캐피탈 및 기업들이 파트너사로 참여했다""며 ""김서준 해시드 대표, 한재선 그라운드X 대표 등은 플랫폼 공식 어드바이저로 합류해 차세대 인재 발굴 및 육성을 전방위적으로 지원할 예정""이라고 밝혔다.스테이츠 다오의 운영을 위한 펀드도 조성됐다. 코드스테이츠는 테라(Terra)와 파트너십을 체결하고 테라USD(UST) 펀딩을 완료했으며 테라 생태계 기반의 다양한 프로젝트 협업을 추진 할 계획이다. 추후에는 플랫폼 협업사를 추가로 확보하는 등 다양한 협력 관계 구축을 통해 펀딩 규모를 1000만달러(약 121억원) 이상으로 확대해 나간다는 방침이다.김인기 코드스테이츠 대표는 ""웹3.0 생태계의 관심에 비해 전문적인 인력은 크게 부족한 상황""이라며 ""앞으로 미래 인재들이 유망 산업 분야세 진출할 수 있도록 혁식적인 교육 모델 도입에 대한 고민과 도전을 멈추지 않을 것""이라고 전했다.한재선 그라운드X 대표는 ""스테이츠다오는 혁신적인 교육 모델과 체계적인 시스템을 기반으로 교육과 채용의 문제를 동시에 해결하는 운영 방식을 도입한 만큼 업계에 큰 혁신을 불러올 것""이라며 기대감을 나타냈다.&lt;블록체인·가상자산(코인) 투자 정보 플랫폼(앱) '블루밍비트'에서 더 많은 소식을 받아보실 수 있습니다&gt;
",2022-03-31 14:36:02
"[코인뉴스] 비트코인, 숨 돌리기 아닌 하락 전조?…연일 답보에 불안감↑",2022.03.31,데일리안언론사 선정,https://n.news.naver.com/mnews/article/119/0002590152?sid=101,"
5600만원대 머물러…사흘째 제자리걸음낮은 거래량이 원인…상승 동력 잃을 수도



암호화폐 관련 이미지.ⓒ픽사베이[데일리안 = 이건엄 기자] 연일 상승세를 보였던 비트코인이 최근 들어 답보상태에 머물면서 투자자들의 불안감이 높아지고 있다. 지속된 상승에 따른 일시적 조정이라는 의견이 나오고 있지만 저항선 아래에 놓여있는 만큼 하락 전환 가능성을 배제하기 힘들다는 주장도 존재한다.31일 암호화폐 거래소 업비트에 따르면 이날 오후 2시 15분 기준 1비트코인은 5669만1000원으로 전날 대비 0.1% 올랐다. 빗썸에서는 0.4% 떨어진 5663만6000원을 기록 중이다. 암호화폐는 주식과 달리 거래소 단위로 거래 가격이 매겨지기 때문에 같은 종류의 가상화폐라도 거래소에 따라 가격에 다소 차이가 있다.비트코인은 지난 주말부터 가파른 상승세를 보이면서 많은 투자자들을 끌어들였다. 특히 지난 28일에는 5700만원을 가볍게 넘어서며 기대감을 고조 됐다. 러시아와 우크라이나의 평화협정 가능성과 대형투자자인 고래의 매집이 활발히 이뤄지며 시세를 끌어올린 것이다.하지만 이후 이렇다 할 호재가 나오지 않으면서 사흘 가까이 제자리걸음만 반복하고 있다. 시세가 상승하는 와중에도 크게 늘지 않은 거래량이 발목을 잡은 것으로 분석된다.실제 암호화폐 분석 플랫폼 크립토컴페어에 따르면 지난 30일(미국 현지시간) 기준 비트코인 글로벌 일거래량은 65억달러로 시세가 5000만원대 초반에 머물렀던 이달 초(79억달러)보다 20% 가까이 줄었다. 유동성이 풍부하지 않은 상황에서 아무리 시세가 상승하더라도 ‘반짝’에 그칠 가능성이 높다는 점을 감안한다면 불안요소다.상황이 이렇다 보니 일각에서는 향후 하락장에 대한 우려도 커지고 있다. 소폭의 하락을 반복하며 저항선으로 여겨지고 있는 5800만원과 점점 거리가 멀어지면서 상승 동력을 완전히 잃을 수 있다는 전망이다. 특히 답보상태가 지속될 경우 조급해진 투자자들이 단기차익 실현에 대거 나설 가능성을 배제하기 힘들다는 의견도 존재한다.암호화폐 시장 분석가 딜런 르클레어(Dylan LeClair)는 비트코인이 4만8000달러(한화 약 5846만원)에 가까워지면 단기 차익실현을 위한 매도가 시작될 수 있다고 전망한 바 있다.한편 알트코인 대장주 이더리움도 비트코인과 비슷한 흐름을 보이고 있다. 이더리움은 같은시간 업비트와 빗썸에서 409만6000원에 거래되고 있다.
		",2022-03-31 14:37:01
"비트코인레전드, 히어로 NFT 카드 이용한 메타버스 게임 구축",2022.03.31,아이티비즈,http://www.it-b.co.kr,,
코인 광풍 GPU값 떨어졌지만···소비자·업계 인식차 '여전',2022.03.31,여성경제신문,http://www.womaneconomy.co.kr/,,
"하이투자증권 ""코인베이스, 바이낸스와 격차 좁힐 것""",2022.03.31,파이낸셜뉴스,https://n.news.naver.com/mnews/article/014/0004812565?sid=105,"
하이투자證 코인베이스 보고서""구독서비스 도입 및 중남미 최대 거래소 인수""""바이낸스와 격차 좁힐 것""  [파이낸셜뉴스] 하이투자증권이 ""미국 가상자산 거래소로 나스닥에 상장돼 있는 코인베이스가 세계 최대 거래소인 바이낸스와 격차를 좁힐 수 있을 것""이라고 낙관 전망했다.   하이투자증권 김현기 연구원은 31일 코인베이스 관련 '크립토 윈터는 없다'는 제목의 보고서를 통해 ""가상자산 가격 하락으로 거래량도 감소하며 코인베이스의 1·4분기 실적에 대한 우려가 커졌고 주가도 하락했다""며 ""그럼에도 불구하고 탈중앙금융(디파이, DeFi)으로의 자금 유입이 이어지고, 코인베이스는 구독 서비스를 출시할 예정으로 생태계 확장과 접근성은 더욱 용이해졌다""고 평가했다.    



하이투자증권이 나스닥에 상장돼 있는 미국 최대 가상자산 거래소 코인베이스와 관련해 구독서비스를 도입하고 중남미 최대 거래소를 인수하기로 하는 등 전망이 밝다고 분석했다. /사진=뉴스1로이터 지난 해 4월 상장 당시 320달러(약 40만원) 대에서 거래를 시작한 코인베이스는 현재 190달러(약 23만원) 선까지 주가가 크게 하락했다. 그러나 연간 실적은 지속 성장하고 있다. 연간 영업이익은 2019년에 458억달러(약 55조원) 적자에서 2020년엔 4090억달러(약 495조원)로 흑자전환 했으며, 2021년에는 3조766억달러(약 3725조원)로 가파르게 증가했다.   특히 코인베이스는 '코인베이스 원(Coinbase One)'이라는 구독 서비스를 출시할 예정이다. 월요금을 내면 거래 수수료 무료, 연중 무휴 전화 서비스, 최대 100만달러(약 12억1000만원) 계정 보호 서비스 등을 제공하는 것이다.   최근엔 중남미 최대 가상자산 거래소 메르카도비트코인(Mercade Bitcoin)의 지주사 2TM을 인수한다고 밝혔다. 메르카도비트코인의 지난 해 말 기준 고객수는 약 320만명이며, 거래대금은 71억달러(약 8조6000억원) 수준이다. 2TM은 지난 해 6월 시리즈B 투자라운드에서 20억달러(약 2조4000억원) 이상으로 평가된 바 있어 코인베이스의 인수금액은 그 이상이 될 것으로 예상된다.   김현기 연구원은 ""코인베이스는 단순 거래 수수료 비즈니스에서 구독 경제 서비스로 전환을 도모하고 있으며 가상자산은 시세 변동성이 이어지겠지만 가상자산의 도입률은 우상향일 것으로 전망한다""며 ""메르카도비트코인 인수로 영업 권역의 확대와 세계 최대 거래소인 바이낸스와의 격차를 좁혀나갈 것으로 보인다""고 말했다.   한편 하이투자증권은 ""블룸버그는 코인베이스의 최고 목표가를 600달러(약 73만원), 최저 목표가를 150달러(약 18만원)로 설정했다""고 덧붙였다. #하이투자증권 #바이낸스 #코인베이스 #가상자산 #코인베이스원  
",2022-03-31 15:05:04
"비트코인보다 끌리는 쿠폰?…'쿠폰의 여왕', 4월 개봉",2022.03.31,SBS연예뉴스,https://n.news.naver.com/mnews/article/416/0000281613?sid=106,"
 
[SBS 연예뉴스 | 김지혜 기자] 범죄 코미디 영화 '쿠폰의 여왕'이 흥미로운 소재로 기대를 모은다.'쿠폰의 여왕'은 쿠폰으로 인생역전을 꿈꾸는 전업주부 '코니'와 유튜버 꿈나무 '조조'의 쿠폰 플렉스 범죄 코미디 영화. 부동산, 비트코인, 주식보다 쿠폰을 선택한 여성들의 화끈한 범죄를 코믹 터치를 가미해 그렸다.31일 공개된 '수퍼 포스터'에는 마트에서 쿠폰을 집중해서 바라보는 '코니'의 모습과 함께 '다시는 쿠폰을 무시하지 말 것!'이라는 카피가 더해져 사소한 쿠폰 한 장에서 시작된 사건이 과연 어떠한 흥미진진한 이야기로 이어질지 궁금증을 자아낸다.'플렉스 포스터'는 쿠폰 비즈니스에 성공해 백만장자가 된 '코니'와 '조조'의 뒤로 늘어선 슈퍼카들과 흩날리는 쿠폰과 돈다발, 그리고 '명품백, 슈퍼카, 최신 무기까지 쿠폰으로 찢었다!'라는 문구가 절묘하게 어우러져 쿠폰의 여왕들이 선보일 진정한 '쿠폰 플렉스'를 기대하게 만든다. 
포스터와 함께 공개된 메인 예고편은 무장한 경찰들이 체포 작전을 펼치는 장면으로 시작해, 남다른 스케일의 쿠폰 범죄가 과연 어떤 방식으로 전개될지 호기심을 자극한다. 초반에는 마트에서 악착같이 모은 쿠폰을 쏟아내는 전업주부 '코니'와 방문 판매 사업이 잘 풀리지 않아 고민하는 '조조'의 일상을 엿볼 수 있다.그러나 '수상한 쿠폰, 더 수상한 여자들'이라는 카피와 함께 분위기가 반전되고, 쿠폰으로 일확천금을 얻을 획기적인 아이디어를 떠올린 두 사람이 본격적인 쿠폰 비즈니스에 착수하는 모습, 비즈니스 대성공의 기쁨을 만끽하며 명품부터 슈퍼카, 최신 무기 쇼핑까지 돈세탁에 열중하는 모습 등 흥미진 진한 사건들이 연이어 펼쳐져 눈길을 사로잡는다.'쿠폰의 여왕'은 오는 4월 개봉한다.ebada@sbs.co.kr
			",2022.03.31. 오후 3:06
"코스피, 0.2% 상승…外人 순매도 전환에 상승폭 축소",2022.03.31,연합인포맥스,http://www.einfomax.com,,
[게임부터 메타버스까지 토큰 이코노미가 뜬다] INTERVIEW | 김정수 명지대 산...,2022.03.31,매일경제,https://n.news.naver.com/mnews/article/009/0004942960?sid=004,"
			“토큰 이코노미는 행동심리학에서 시작된 경제학 용어예요. ‘어떠한 행동을 이끌어내기 위해 보상을 주는 시스템’을 말하죠. 이 보상을 다른 유형의 물건이나 서비스로 교환할 수 있게 해서 경제적인 순환구조를 만드는 겁니다.”블록체인 기술의 등장이 토큰 이코노미를 이끌었다고 소개한 김정수 명지대 산업경영공학과 교수는 “대표적인 사례가 비트코인이고 이후 암호화폐 영역뿐만 아니라 NFT의 활용 등 새로운 비즈니스 모델을 통해 음악이나 영화 같은 디지털 콘텐츠의 가치 책정이나 의료, 행정, 수출입 등 다양한 산업 분야에서 주목받는 혁신도구로 사용되기 시작했다”고 설명했다. 김 교수는 “토큰 이코노미가 무수한 가능성을 보여주고 있지만 아직은 기술적인 한계를 갖고 있다”며 “기존 법 제도와의 충돌이나 해킹의 위험성 등 해결해야 할 과제가 아직 많다”고 지적했다.  



 ▶최근 토큰 이코노미에 대한 관심이 높아지고 있습니다.▷암호화폐에 적용해보면 블록체인에서 사용되는 코인이나 토큰을 활용한 서비스를 제공하고 이윤을 창출하는 방법과 참여자들에게 보상을 주고 활성화하는 방법, 분산원장(복제, 공유 또는 동기화된 디지털 데이터에 대한 합의 기술)의 거버넌스 등을 결합한 경제 생태계를 토큰 이코노미라고 할 수 있어요. 쉽게 말해 비트코인이 대표적인 사례죠. ▶비트코인이 2009년에 출현했으니 꽤 오래된 경제 생태계인 셈이네요.▷블록체인 기술은 비트코인을 발명했다고 알려진 사토시 나카모토의 2008년 논문이 출발점이에요. 암호화 기술에 기반한 전자 지불 시스템을 이용해 자발적인 두 거래자가 제3자인 신용기관 없이도 직접 거래할 수 있게 만든 방식이죠. 비트코인이 출현하면서 토큰 이코노미도 본격화됐는데, 지금은 암호화폐 영역뿐만 아니라 NFT 등 새로운 비즈니스 모델을 통해서 음악이나 영화 같은 디지털 콘텐츠에 새로운 가치를 부여하거나 의료, 행정, 수출입 같은 다양한 산업 분야에서 혁신도구로 쓰이기 시작했습니다. ▶토큰 이코노미에 주목해야 할 가장 큰 이유라면.▷이 경제 시스템은 탈중앙적이에요. 그러니까 개인 간의 신뢰를 통해 소수의 통제자에게 집중되던 편익을 공평하게 분배하도록 설계돼 있어요. 참여한 이들이 함께 생태계를 키우고 합리적으로 그 결실을 나눌 수 있는 구조를 제공하죠. 게임 산업을 들여다보면 이해가 쉬운데요. 게임 기업이 인력과 기술을 투입해 게임을 개발하고 서버와 네트워크를 구축해 게임 서비스를 제공하면 사용자들이 그 게임을 즐기면서 아이템을 사고 이용료를 냅니다. 그게 기업의 수익이 되죠. 그런데 곰곰이 생각해보면 게임 서비스가 사용자에게 사랑받기 위해선 지속적인 서비스 개선이나 업데이트가 필수적이에요. 그런데 이건 개발자들의 직관이나 상상력에 의해서 만들어지는 게 아니에요. 게임에 참여하는 유저들의 개인정보나 플레이 패턴, 선호 콘텐츠 같은 다양한 정보를 통해 업그레이드되는 것이죠. ▶성공한 게임의 한 축이 유저의 활동이다? ▷게임사의 서버에 축적된 유저들의 데이터는 타깃 프로파일을 원하는 광고 집행자나 데이터 수요자들에게 판매될 수도 있습니다. 그러니까 게임의 사업성과가 좋다는 건 그 게임을 즐기는 유저들의 기여가 직·간접적으로 포함돼 있고, 그런 이유로 유저는 게임사가 획득한 경제적 가치를 분배받을 수 있는 자격이 있는 것이죠. 이때 토큰 이코노미를 적용하면 게임사는 출시 시점에 토큰(혹은 코인)을 발행하고 그 토큰을 구매한 유저들은 게임 내에서 이를 이용하거나 현재 가치로 환전할 수도 있게 됩니다. 물론 게임 개발의 자금조달에도 참여하게 되는 것이죠.▶게임의 미래 가치(인기)가 곧 토큰의 가치가 되는 셈이군요. ▷만일 해당 게임의 미래 가치 상승이 예상된다면 토큰 보유자는 해당 토큰의 가치 상승을 기대해 팔지 않겠지요. 향후 발생할 가치 차액을 노릴 수도 있을 겁니다. 물론 이때 게임을 개발한 기업은 서비스의 주체적 관리자로서 제한적인 역할을 담당해야 합니다. 그래야 게임의 활성화로 인한 성과를 게임사뿐 아니라 해당 생태계에 참여한 이들이 일정 부분 분배받을 수 있는 구조를 만들 수 있습니다.▶말씀하신 주체적 관리자의 역할 등에 대한 논란도 있는데요. 어쩌면 NFT가 주목받는 이유이기도 합니다.▷NFT도 토큰 이코노미의 주요 혁신으로 손꼽히고 있습니다. 고유한 특성을 지닌 가상자산의 식별과 소유권을 지정할 수 있는 블록체인 기반의 기술 결과물이죠. 게임의 경우, 기존에는 게임사가 서비스를 중단하면(서버 폐쇄 등) 유저가 그동안 시간과 현금을 투자해 축적한 수많은 가상자산들이 모두 사라졌어요. 유저들이 아무런 보상을 받을 수가 없었죠. 그런데 NFT 기술을 통해 게임 내 가상자산(게임 아이템 등)에 대한 소유권이 명확해지면, 서비스가 중단되더라도 유저가 소유한 가상자산의 가치가 여전히 유효하게 남게 되는 겁니다. 음악, 미술, 가상 토지, 가상 건물 혹은 특정 시점의 기록영상물까지 NFT화할 수 있다는 점에서 향후 메타버스 시대로 가기 위한 필수적인 가상자산 관리 기술로 자리 잡고 있어요. 이처럼 전통적인 경제 시스템을 유지하면서도 탈중앙·신뢰성·투명성을 동시에 추구할 수 있다는 점에서 토큰 이코노미는 앞으로 다양한 분야로 확산될 겁니다.▶전망이 밝을수록 비판도 존재하는데요. 실제로 토큰의 변동성에 따른 리스크나 이슈에만 집착하는 행태에 대한 논란이 이어지고 있습니다.▷블록체인 기술이 기반인 토큰 이코노미는 기존의 금융이나 비즈니스 영역에서 새로운 가능성을 보여주고 있습니다. 하지만 여전히 보완이 필요한 기술적 한계를 지니고 있어요. 기존 법 제도적 장치와의 충돌이나 기술 이해의 갭을 이용한 사기 거래, 해킹 위험 같은 해결 과제들이 그렇죠. 또 탈중앙화를 지향하면서도 안정적 시스템 운영을 위해 여전히 중앙 통제적 구조에 의존하는 점, 채굴 등 대규모 컴퓨팅을 위한 환경적 악영향의 문제, 가상자산의 현금화와 관련한 사행성 우려에 대한 사회적 합의도 중요한 해결 과제들입니다. 그럼에도 불구하고 세상의 변화가 점진적으로 현실세계와 가상세계의 융합으로 흘러가고 있는 시점에서, 코인 이코노미는 다가올 메타버스 사회와 경제의 생명력이 될 겁니다. 코인 이코노미가 허구일지 아니면 미래일지, 관심 있게 지켜봐야 할 불확실한 미래죠. [본 기사는 매경LUXMEN 제139호 (2022년 4월) 기사입니다]
",2022-03-31 15:14:03
리치앤코 “MZ세대 직장인 5명 중 1명은 ‘N잡러’”,2022.03.31,세계비즈,http://www.segyefn.com,,
"비트코인 레전드, 히어로 NFT 카드 이용 메타버스 게임 선봬",2022.03.31,디스커버리뉴스,http://www.tourtimes.net,,
