title,dates,press,link,content,time
"도지코인 8% 급락, 시총 10위 암호화폐 중 최대 손실",2022.12.13,글로벌이코노믹,http://www.g-enews.com/,,
"비트코인 가격 바닥 가능성?...""무책임한 주체 판매 모두 소진""",2022.12.13,핀포인트뉴스,http://www.pinpointnews.co.kr,,
"뉴욕증시 비트코인 ""CPI 물가 쇼크"" FOMC 충돌 연준피벗 시기상조 vs 터미널 ...",2022.12.13,글로벌이코노믹,http://www.g-enews.com/,,
"미 증시 상승 키워..FOMC와 CPI는 이미 반영됐을 가능성..테슬라 하락, 애플,...",2022.12.13,매일안전신문,http://peoplesafe.kr,,
기술주 폭락에 인내심 잃은 투자자들…'돈나무 언니'도 흔들,2022.12.13,연합뉴스언론사 선정,https://n.news.naver.com/mnews/article/001/0013637850?sid=104,"
테슬라·줌 등 기술주 집중 매입…올해 아크이노베이션 ETF 손실 63%



캐시 우드 아크인베스트먼트 CEO[AFP 연합뉴스 자료사진.재판매 및 DB 금지](뉴욕=연합뉴스) 고일환 특파원 = 테슬라와 줌 등 기술주의 부진이 계속되면서 월스트리트의 투자자들도 인내심을 잃는 분위기다.    월스트리트저널(WSJ)은 12일(현지시간) 유명투자자 캐시 우드 최고경영자(CEO)가 이끄는 미국 아크인베스트먼트에 돈을 맡긴 투자자들이 등을 돌리고 있다고 보도했다.    우드 CEO는 2020년 코로나19 확산 직후 테슬라와 같은 고성장 기술주를 집중적으로 매입해 높은 수익률을 기록한 스타 투자가다. 국내에서도 '돈나무 언니'라는 별명이 붙을 만큼 유명해졌다.    그러나 최악의 인플레이션에 대처하기 위한 미국 연방준비제도(Fed·연준)의 공격적인 통화정책 이후 우드 CEO의 펀드는 시장 수익률에도 한참 못 미치는 부진한 성적을 기록하고 있다.    스탠더드앤드푸어스(S&amp;P) 500지수도 올해 17%의 손실을 기록했지만, 우드 CEO의 대표 상품인 아크이노베이션 ETF의 손실은 63%나 됐다.     이날 아크이노베이션 ETF의 주당 순자산가치는 약 34달러로 최근 5년간 최저수준이다.    시장 수익률보다도 훨씬 저조한 이유는 우드 CEO가 주가 하락에도 기술주의 반등을 과신하면서 오히려 더 공격적인 매입에 나섰기 때문이다.    우드 CEO는 화상회의 업체 줌의 경우 오는 2026년까지 주가가 1천500달러로 뛰어오를 것이라면서 지분을 늘렸다.     그러나 1년 전 200달러 선이었던 줌의 주가는 현재 3분의 1토막 수준인 70달러까지 떨어졌다.    또한 우드 CEO는 오는 2030년까지 비트코인 가격이 100만 달러로 폭등할 것이라는 예측을 내놓으면서 가상화폐 관련 종목에도 공격적인 투자를 펼치기도 했다.    아크이노베이션 ETF는 미국 최대 가상화폐거래소 코인베이스의 2대 주주이지만, 올해 코인베이스의 주가는 84%나 하락했다.    이 같은 상황이 계속되자 투자금을 회수하는 투자자들도 늘어나고 있다.    투자 중계업체인 위불 파이낸셜에 따르면 올해 아크인베스트먼트에 돈을 맡긴 고객 계좌 8%가 감소했다.     지난달 30일에는 하루에만 1억4천600만 달러(약 1조9천억 원)가 빠져나간 것으로 전해졌다.    금융투자업체 엑센셜 웰스 어드바이저스의 존 버킷-세인트로렌 선임 포트폴리오매니저는 우드 CEO의 투자 스타일에 대해 ""시장에 돈이 넘쳐나는 상황이 영원히 계속되리라 판단한 것""이라며 ""위기관리 계획을 세우지 않은 것으로 보인다""고 말했다.    koman@yna.co.kr
",2022-12-13 01:04:07
`돈나무 언니`에 등 돌리는 투자자들…올해 아크이노베이션 ETF 최악 손실,2022.12.13,디지털타임스언론사 선정,https://n.news.naver.com/mnews/article/029/0002772201?sid=104,"
기술주 폭락에 투자자들 인내심 잃어테슬라와 줌 등 기술주의 부진이 계속되면서 월스트리트의 투자자들도 점차 인내심을 잃고 있다.월스트리트저널(WSJ)은 12일(현지시간) 유명투자자 캐시 우드 최고경영자(CEO)가 이끄는 미국 아크인베스트먼트에 돈을 맡긴 투자자들이 등을 돌리고 있다고 보도했다.국내에서도 '돈나무 언니'라는 별명이 붙을 정도로 유명한 우드 CEO는 2020년 코로나19 확산 직후 테슬라와 같은 고성장 기술주를 집중적으로 매입해 높은 수익률을 기록한 스타 투자가다.그러나 최악의 인플레이션에 대처하기 위한 미국 연방준비제도(Fed·연준)의 공격적인 통화정책 이후 우드 CEO의 펀드가 시장 수익률에도 한참 못 미치는 부진한 성적을 기록하고 있다. 스탠더드앤드푸어스(S&amp;P) 500지수도 올해 17%의 손실을 기록했지만, 우드 CEO의 대표 상품인 아크이노베이션 ETF의 손실은 63%나 됐다. 이날 아크이노베이션 ETF의 주당 순자산가치는 약 34달러로 최근 5년간 최저수준이다.시장 수익률보다도 훨씬 저조한 이유는 우드 CEO가 주가 하락에도 기술주의 반등을 과신, 오히려 더 공격적인 매입에 나섰기 때문이다.우드 CEO는 화상회의 업체 줌의 경우 오는 2026년까지 주가가 1500달러로 뛰어오를 것이라면서 지분을 늘렸다. 그러나 1년 전 200달러 선이었던 줌의 주가는 현재 3분의 1토막 수준인 70달러까지 떨어졌다.우드 CEO는 또 오는 2030년까지 비트코인 가격이 100만 달러로 폭등할 것이라는 예측을 내놓으면서 가상화폐 관련 종목에 공격적인 투자를 펼치기도 했다.아크이노베이션 ETF는 미국 최대 가상화폐거래소 코인베이스의 2대 주주이지만, 올해 코인베이스의 주가는 84%나 하락했다.이 같은 상황이 계속되자 투자금을 회수하는 투자자들도 늘어나고 있다. 투자 중계업체인 위불 파이낸셜에 따르면 올해 아크인베스트먼트에 돈을 맡긴 고객 계좌 8%가 감소했다. 지난달 30일 하루에만 1억4600만 달러(약 1조9000억 원)가 빠져나간 것으로 전해졌다.금융투자업체 엑센셜 웰스 어드바이저스의 존 버킷-세인트로렌 선임 포트폴리오 매니저는 우드 CEO에 대해 ""시장에 돈이 넘쳐나는 상황이 영원히 계속되리라 판단한 것""이라며 ""위기관리 계획을 세우지 않은 것으로 보인다""고 말했다.  



캐시 우드 아크 인베스트먼트 창업자이자 최고경영자(CEO). [트위터 캡처]    
",2022-12-13 01:37:06
"'루나 사태' 권도형, 여권 막히기 전 세르비아로 도피",2022.12.13,SBS,https://n.news.naver.com/mnews/article/055/0001019847?sid=102,"
			&lt;앵커&gt;가상화폐 '테라와 루나' 폭락 사태를 일으킨 뒤 종적을 감춘 권도형 대표가 동유럽 국가인 세르비아에 있는 것으로 확인됐습니다.왜 세르비아로 갔는지, 또 국내 송환은 가능한지 김덕현 기자가 짚어봤습니다.&lt;기자&gt;권도형 테라폼랩스 대표가 국내를 떠나 싱가포르로 향한 건 루나·테라 코인이 폭락하기 직전인 지난 4월 말이었습니다.SBS 취재진이 권 씨의 행방을 쫓아, 지난 5월 싱가포르 사무실과 거주지 등을 찾아갔지만 만날 수 없었습니다.[백인 남성 : (아이가 있지 않나요? 한국어 동요를 들었는데요.) 아니요. 잘못된 주소입니다.]종적을 감췄던 권 씨는, 지난 9월 초, 두바이를 통해 제3국으로 이동한 정황이 포착됐는데 검찰이 최근 권 씨가 동유럽 세르비아에 체류 중인 사실을 확인했습니다.체류 시작 시점은 여권 효력이 정지된 지난 10월 중순 이전으로 추정됩니다.업계에서는 권 씨의 세르비아행이 가상화폐와 연관돼 있다는 관측을 내놓고 있습니다.세르비아가 여러 가상화폐에 대한 현금화가 용이한 곳이고 가상화폐 자동입출금기도 설치돼 있다는 겁니다.[박성준/동국대 블록체인연구센터 교수 : 비트코인만 가지고 있으면 (입출금기에서) 그때 시세에 따라서 돈으로 바꿔주는 서비스를 하는 거 가능하거든요. 자기 (지갑) 주소만 있으면 출금할 수가 있습니다.]또 권 씨에게는 수배자를 검거해 송환하도록 한 인터폴 최고 등급인 '적색 수배'가 내려져 있는 반면, 세르비아와 우리나라 사이에는 범죄인 인도 협정이 체결돼 있지 않다는 점도 체류 이유로 꼽힙니다.수사 당국은 범죄인 인도가 원활치 않을 경우, 불법 체류자 신분인 권 씨를 세르비아 정부가 강제 추방토록 해 국내로 송환하는 등의 방안도 검토하고 있습니다.
		",2022-12-13 01:56:52
"캐시 우드, 기술주 폭락에 손실 '눈덩이'...등돌리는 투자자들",2022.12.13,SBS Biz,https://n.news.naver.com/mnews/article/374/0000314124?sid=101,"




'돈나무 언니'로 유명한 월가 스타 투자자 캐시 우드가 기술주 폭락에 흔들리고 있습니다.월스트리트저널(WSJ)은 12일(현지시간) 우드 최고경영자(CEO)가 이끄는 미국 아크인베스트먼트에 돈을 맡긴 투자자들이 등을 돌리고 있다고 보도했습니다.우드는 2년 전 코로나19 확산 직후 테슬라를 중심으로 고성장 기술주를 집중 매수하며 높은 수익률을 기록해 스타덤에 올랐습니다.하지만 미 연방준비제도(Fed·연준)가 최악의 인플레이션에 대처하기 위해 공격적인 통화정책을 펼치면서 아크의 펀드는 시장 수익률에도 한참 못 미치는 부진한 성적을 이어가고 있습니다.대표 상품인 아크이노베이션 ETF의 올해 손실은 63%에 달했고, 주당 순자산가치는 약 34달러로 최근 5년간 최저수준을 기록하고 있습니다.우드 CEO는 주가 하락에도 기술주 반등에 배팅하며 오히려 더 공격적인 매입에 나서고 있습니다.대표적인 예로 화상회의 업체 줌의 경우 2026년까지 주가가 1천500달러로 뛰어오를 것이라며 지분을 늘렸는데, 1년 전 200달러 대였던 줌의 주가는 현재 70달러까지 떨어졌습니다.또 2030년까지 비트코인 가격이 100만 달러로 폭등할 것이란 예측을 내놓으며 가상자산 관련 종목에도 공격적인 투자를 펼쳤습니다.아크이노베이션ETF는 미국 최대 가상자산거래소 코인베이스의 2대 주주이기도 한데, 올해 코인베이스의 주가는 84%나 하락했고, '코인판 리먼사태'를 촉발한 FTX 붕괴 여파로 가상자산 시장이 흔들리며 타격을 받고 있습니다.이 같은 상황이 계속되자 투자금을 회수하는 투자자들이 늘고 있습니다.투자 중계업체인 위불 파이낸셜에 따르면 올해 아크인베스트먼트에 돈을 맡긴 고객 계좌 8%가 감소했습니다.지난달 30일에는 하루에만 1억4천600만 달러(약 1조9천억 원)가 빠져나간 것으로 전해졌습니다.금융투자업체 엑센셜 웰스 어드바이저스의 존 버킷-세인트로렌 선임 포트폴리오매니저는 우드 CEO의 투자 스타일에 대해 ""시장에 돈이 넘쳐나는 상황이 영원히 계속되리라 판단한 것""이라며 ""위기관리 계획을 세우지 않은 것으로 보인다""고 지적했습니다. 
		",2022-12-13 03:43:01
"러시아, 美처럼 핵무기 선제타격 가능?... 다우ㆍ나스닥지수 '훨훨'",2022.12.13,핀포인트뉴스,http://www.pinpointnews.co.kr,,
"[글로벌 비즈 브리핑] 캐시 우드 손실 '눈덩이'·골드만 ""증시 최대 악재는 기...",2022.12.13,SBS Biz,https://n.news.naver.com/mnews/article/374/0000314133?sid=101,"




[캐시 우드 아크인베스트먼트 CEO][글로벌 비즈 브리핑] 한눈에 보는 해외 경제 이슈▲캐시 우드, 기술주 폭락에 손실 '눈덩이'…등돌리는 투자자들▲MS, 런던증권거래소그룹 지분 4% 인수…10년 협업 관계 구축▲마스터카드 ""인플레 정점…팬데믹 이전 수준 몇 년 걸려""▲골드만삭스·모건스탠리 ""증시 최대 악재는 기업이익 하향""▲美, LG엔솔-GM 합작사에 25억 달러 대출 지원▲中, '나홀로' IPO 호황…올 글로벌 조달자금 46% 차지캐시 우드, 기술주 폭락에 손실 '눈덩이'…등돌리는 투자자들'돈나무 언니'로 유명한 월가 스타 투자자 캐시 우드가 기술주 폭락에 흔들리고 있습니다.월스트리트저널(WSJ)은 현지시간 12일 우드 최고경영자(CEO)가 이끄는 미국 아크인베스트먼트에 돈을 맡긴 투자자들이 등을 돌리고 있다고 보도했습니다.우드는 2년 전 코로나19 확산 직후 테슬라를 중심으로 고성장 기술주를 집중 매수하며 높은 수익률을 기록해 스타덤에 올랐습니다.하지만 미 연방준비제도(Fed·연준)가 최악의 인플레이션에 대처하기 위해 공격적인 통화정책을 펼치면서 아크의 펀드는 시장 수익률에도 한참 못 미치는 부진한 성적을 이어가고 있습니다.대표 상품인 아크이노베이션 ETF의 올해 손실은 63%에 달했고, 주당 순자산가치는 약 34달러로 최근 5년간 최저수준을 기록하고 있습니다.우드 CEO는 주가 하락에도 기술주 반등에 배팅하며 오히려 더 공격적인 매입에 나서고 있습니다.대표적인 예로 화상회의 업체 줌의 경우 2026년까지 주가가 1천500달러로 뛰어오를 것이라며 지분을 늘렸는데, 1년 전 200달러 대였던 줌의 주가는 현재 70달러까지 떨어졌습니다.또 2030년까지 비트코인 가격이 100만 달러로 폭등할 것이란 예측을 내놓으며 가상자산 관련 종목에도 공격적인 투자를 펼쳤습니다.아크이노베이션ETF는 미국 최대 가상자산거래소 코인베이스의 2대 주주이기도 한데, 올해 코인베이스의 주가는 84%나 하락했고, '코인판 리먼사태'를 촉발한 FTX 붕괴 여파로 가상자산 시장이 흔들리며 타격을 받고 있습니다.이 같은 상황이 계속되자 투자금을 회수하는 투자자들이 늘고 있습니다.투자 중계업체인 위불 파이낸셜에 따르면 올해 아크인베스트먼트에 돈을 맡긴 고객 계좌 8%가 감소했습니다.지난달 30일에는 하루에만 1억 4천600만 달러(약 1조 9천억 원)가 빠져나간 것으로 전해졌습니다.금융투자업체 엑센셜 웰스 어드바이저스의 존 버킷-세인트로렌 선임 포트폴리오매니저는 우드 CEO의 투자 스타일에 대해 ""시장에 돈이 넘쳐나는 상황이 영원히 계속되리라 판단한 것""이라며 ""위기관리 계획을 세우지 않은 것으로 보인다""고 지적했습니다.MS, 런던증권거래소그룹 지분 4% 인수…10년 협업 관계 구축마이크로소프트(MS)가 영국 런던증권거래소그룹(LSEG)의 지분 일부를 인수하고 협업 관계를 구축하기로 했습니다.현지시간 12일 CNBC에 따르면 MS는 ""LSEG와 10년에 걸쳐 협업 관계를 구축하기로 했다""고 발표했습니다. MS는 이번 파트너십 구축의 일환으로 블랙스톤과 톰슨로이터 컨소시엄이 보유한 LSEG 지분 4%를 인수할 예정으로, 규모는 14억 9천200만 파운드(약 2조 4천억 원) 수준입니다.MS는 내년 1분기 중 주식 매입이 완료될 것으로 전망했습니다.양사는 이번 계약을 통해 28억 달러(약 3조 6천억 원)를 들여 차세대 데이터 분석을 비롯해 클라우딩 연산 부문 등에서 협업하기로 했습니다.LSEG는 운용중인 데이터 플랫폼과 핵심 기술 인프라를 MS의 클라우드 서비스인 ‘애저’로 이식할 예정입니다.여기에 더해 자체 데이터 분석 플랫폼인 ‘워크스페이스’를 MS의 협업용 앱인 ‘마이크로소프트 팀스’와 통합시키는 작업도 병행하기로 했습니다.이에 따라 스콧 거스리 MS 클라우드·AI 그룹 수석부사장은 LSEG의 비상임 이사로 임명될 예정입니다.사티아 나델라 MS 최고경영자(CEO)는 ""보다 발전된 클라우드·AI 기술은 금융 기관의 업무 전반에 있어 근본적 혁신을 일으킬 수 있다""며 ""이번 파트너십이 우리가 올해 제시한 비전인 '적은 것으로 더 많은 것을 이뤄내기(Do more with less)'의 대표 사례가 될 것""이라고 밝혔습니다.마스터카드 ""인플레 정점…팬데믹 이전 수준 몇 년 걸려""글로벌 신용카드사 마스터카드가 인플레이션이 정점에 달했지만 코로나19 이전 수준으로 돌아가려면 아직 몇 년은 더 걸릴 것이라는 진단을 내렸습니다.마스터카드 경제연구소의 데이비드 맨 수석이코노미스트는 현지시간 12일 CNBC와의 인터뷰에서 ""내년 물가는 코로나19 이전을 상회할 것""이라며 이같이 말했습니다.그러면서 ""미국 소비자들은 높은 물가에도 불구하고 여행 등에 기꺼이 돈을 쓰고 있다""며 ""미국의 여행 수요 회복은 강력하다""고 말했습니다.이어 ""인플레이션은 이미 정점을 찍었다""면서도 ""매우 높게 유지되고 있다""고 덧붙였습니다.맨 수석이코노미스트는 다만 공격적 긴축에 대해서는 우려를 표했습니다.그는 “중앙은행들이 필요 이상으로 기준금리를 올리면 위험할 것”이라며 “빠르게 (정책 방향을 인하 쪽으로) 뒤집어야 할 때가 심각한 시나리오가 될 것”이라고 지적했습니다.골드만삭스·모건스탠리 ""증시 최대 악재는 기업이익 하향""치솟는 물가와 미 연방준비제도(Fed·연준)의 공격적 긴축기조가 시장의 주목을 받고 있는 가운데, 월가는 주식시장 최대 리스크로 기업 이익 하향 조정을 꼽았습니다.현지시간 12일 블룸버그 통신에 따르면 모건스탠리의 마이클 윌슨과 골드만삭스의 데이비드 코스틴 수석 전략가는 보고서를 통해 내년 마진 압박으로 기업들의 이익이 예상보다 더 크게 줄어들 수 있는 만큼 증시에 큰 부담이 될 것이라고 전망했습니다.윌슨 전략가는 ""이번 약세장의 마지막은 현재 너무 높게 책정돼 있는 기업들의 이익 전망치 경로에 관한 것”이라며 “인플레이션과 연준 정책에 대해 시장은 여전히 우려하고 있지만, 이는 어디까지나 과거의 뉴스일 뿐""이라고 지적했습니다.이들은 올 한 해 약세를 벗어나지 못했던 증시가 연말 랠리를 보이겠지만, 내년 초부터 다시 어려운 출발을 하게 될 것으로 내다봤습니다.또 단기적으로는 인플레이션과 연준의 통화정책이 악재가 될 수 있다고 덧붙였습니다.윌슨 전략가는 “비용은 계속 늘어나고 제품 가격은 하락할 것이라 내년도 기업 이익은 매우 어려운 환경에 처할 것”이라고 예상했습니다.골드만삭스 역시 “마진 압박이 내년도 예상보다 기업 이익 추정치를 더 악화시킬 수 있다”며 내년 기업 이익이나 주가지수가 높아질 여지를 크게 보지 않았습니다.이에 윌슨 전략가는 내년 말 S&amp;P500지수 목표치를 3900선으로 제시했고, 코스틴 전략가는 이보다 소폭 높은 4000선으로 전망했습니다. 이는 현재 지수와 비슷한 수준입니다.코스틴 전략가는 “많은 투자자들이 전망보다 내년 증시에 대해 더 부정적으로 보고 있는 것 같다”면서 “내년 미국 경제가 연착륙할 것으로 예상하지만, 그와 달리 침체 국면으로 빠질 경우 주식시장 기대 수익률은 예상보다 크게 나빠질 수 있다”고 우려했습니다.美, LG엔솔-GM 합작사에 25억 달러 대출 지원미국 에너지부가 LG에너지솔루션과 미국 제너럴모터스(GM)의 배터리 합작 법인인 얼티엄셀즈에 25억 달러(약 3조 2천600억 원)의 대출 지원을 실시하기로 최종 결정했다고 로이터통신이 현지시간 12일 보도했습니다.보도에 따르면 대출 자금은 오하이오, 테네시, 미시간 등 3곳에 들어설 얼티엄셀즈 리튬배터리 제조시설을 건설하는 데 투입됩니다.앞서 LG에너지솔루션과 GM은 오하이오 합작1공장(40GWh), 테네시 합작2공장(45GWh), 미시간 합작3공장(50GWh)을 짓기로 한 바 있습니다.미 에너지부의 이번 금융 지원은 첨단기술차량제조(ATVM) 프로그램에 따라 배터리 제조 프로젝트에 지원하는 첫 사례입니다.ATVM 프로그램은 2007년 에너지독립안보법에 따른 친환경 자동차 등에 대한 대출 지원 프로그램으로, 인플레이션 감축법(IRA)에서는 이 지원 프로그램에 대한 재원으로 30억 달러를 추가로 책정했습니다.얼티엄셀즈 제조시설에서는 미국 내 전기차 수요에 대응하는 배터리를 생산하게 됩니다. 공장 건설로 총 1만1천개의 일자리를 창출할 것으로 예상된다고 에너지부는 밝혔습니다.제니퍼 그랜홀름 에너지부 장관은 ""이번 대출은 다른 나라에 대한 의존을 줄이는데 필요한 미국 내 배터리 생산을 촉진하는 한편 휘발유 자동차에 따른 탄소 배출을 줄이고 바이든 대통령의 전기차 정책 목표를 지원하게 될 것이다""라고 밝혔습니다.中, '나홀로' IPO 호황…올 글로벌 조달자금 46% 차지중국 본토 증시 기업공개(IPO) 규모가 올해 역대 최대를 기록했습니다.블룸버그통신은 현지시간 11일 자체 집계에서 올해 중국 상하이·선전·베이징거래소에서 기업들이 IPO로 조달한 자금이 912억 달러(약 120조 원)에 달해, 기존 최대 기록이었던 지난해의 856억 달러 대비 6.5% 늘었다고 보도했습니다.중국의 연간 IPO는 2018년 211억 달러에서 4년 연속 증가했습니다.중국은 올해 전 세계 증시에서 진행한 IPO 조달 자금의 46%를 차지했습니다.올해 글로벌 IPO 시장이 부진한 가운데 중국의 비중은 2021년 13%에서 크게 뛰었는데, 중국 기업 391곳이 본토 증시에 상장했습니다.10억 달러 이상의 대형 IPO도 중국이 9건으로 가장 많았습니다.홍콩이 3건, 뉴욕이 2건, 독일이 1건으로 그 뒤를 이었습니다.블룸버그는 올 하반기에 376개 사가 IPO 계획을 발표한 것을 볼 때 내년에도 중국 본토 증시 IPO가 호황을 이어갈 것으로 내다봤습니다.중국을 제외한 글로벌 IPO 시장은 올해 인플레이션과 기준금리 인상, 러시아의 우크라이나 침공 등으로 냉각됐습니다.최근 중국 본토 상장이 늘어난 것은 당국이 2020년부터 해외 상장 규제를 강화한 결과로 풀이됩니다.또 미국 증시에서 중국 기업 퇴출 리스크가 커지면서 차이나모바일, 중국해양석유 등 대기업이 본토에 2차로 상장한 영향도 있습니다.여기에 더해 중국 부동산 시장 침체로 갈 곳을 잃은 시중 자금이 증시로 이동한 것도 중국 IPO 시장 활성화 요인으로 꼽힙니다.
		",2022-12-13 04:21:01
